pico_Interval Start,pico_Interval End,pico_Interval Duration
25931942.000,25932242.000,300.000
25932542.000,25932842.000,300.000
25933142.000,25933442.000,300.000
25933742.000,25934042.000,300.000
25934342.000,25934642.000,300.000
25934942.000,25935242.000,300.000
25935542.000,25935842.000,300.000
25936142.000,25936442.000,300.000
25936742.000,25937042.000,300.000
25937342.000,25937642.000,300.000
25937942.000,25938242.000,300.000
25938542.000,25938842.000,300.000
25939142.000,25939442.000,300.000
25939742.000,25940042.000,300.000
25940342.000,25940642.000,300.000
25940942.000,25941242.000,300.000
25941542.000,25941842.000,300.000
25942142.000,25942442.000,300.000
25942742.000,25943042.000,300.000
25943342.000,25943642.000,300.000
25943942.000,25944242.000,300.000
25944542.000,25944842.000,300.000
25945142.000,25945442.000,300.000
25945742.000,25946042.000,300.000
25946342.000,25946642.000,300.000
25946942.000,25947242.000,300.000
25947542.000,25947842.000,300.000
25948142.000,25948442.000,300.000
25948742.000,25949042.000,300.000
25949342.000,25949642.000,300.000
25949942.000,25950242.000,300.000
25950542.000,25950842.000,300.000
25951142.000,25951442.000,300.000
25951742.000,25952042.000,300.000
25952342.000,25952642.000,300.000
25952942.000,25953242.000,300.000
25953542.000,25953842.000,300.000
25954142.000,25954442.000,300.000
25954742.000,25955042.000,300.000
25955342.000,25955642.000,300.000
25955942.000,25956242.000,300.000
25956542.000,25956842.000,300.000
25957142.000,25957442.000,300.000
25957742.000,25958042.000,300.000
25958342.000,25958642.000,300.000
25958942.000,25959242.000,300.000
25959542.000,25959842.000,300.000
25960142.000,25960442.000,300.000
25960742.000,25961042.000,300.000
25961342.000,25961642.000,300.000
25961942.000,25962242.000,300.000
25962542.000,25962842.000,300.000
25963142.000,25963442.000,300.000
25963742.000,25964042.000,300.000
25964342.000,25964642.000,300.000
25964942.000,25965242.000,300.000
25965542.000,25965842.000,300.000
25966142.000,25966442.000,300.000
25966742.000,25967042.000,300.000
25967342.000,25967642.000,300.000
25967942.000,25968242.000,300.000
25968542.000,25968842.000,300.000
25969142.000,25969442.000,300.000
25969742.000,25970042.000,300.000
25970342.000,25970642.000,300.000
25970942.000,25971242.000,300.000
25971542.000,25971842.000,300.000
25972142.000,25972442.000,300.000
25972742.000,25973042.000,300.000
25973342.000,25973642.000,300.000
25973942.000,25974242.000,300.000
25974542.000,25974842.000,300.000
25975142.000,25975442.000,300.000
25975742.000,25976042.000,300.000
25976342.000,25976642.000,300.000
25976942.000,25977242.000,300.000
25977542.000,25977842.000,300.000
25978142.000,25978442.000,300.000
25978742.000,25979042.000,300.000
25979342.000,25979642.000,300.000
25979942.000,25980242.000,300.000
25980542.000,25980842.000,300.000
25981142.000,25981442.000,300.000
25981742.000,25982042.000,300.000
25982342.000,25982642.000,300.000
25982942.000,25983242.000,300.000
25983542.000,25983842.000,300.000
25984142.000,25984442.000,300.000
25984742.000,25985042.000,300.000
25985342.000,25985642.000,300.000
25985942.000,25986242.000,300.000
25986542.000,25986842.000,300.000
25987142.000,25987442.000,300.000
25987742.000,25988042.000,300.000
25988342.000,25988642.000,300.000
25988942.000,25989242.000,300.000
25989542.000,25989842.000,300.000
25990142.000,25990442.000,300.000
25990742.000,25991042.000,300.000
25991342.000,25991642.000,300.000
25991942.000,25992242.000,300.000
25992542.000,25992842.000,300.000
25993142.000,25993442.000,300.000
25993742.000,25994042.000,300.000
25994342.000,25994642.000,300.000
25994942.000,25995242.000,300.000
25995542.000,25995842.000,300.000
25996142.000,25996442.000,300.000
25996742.000,25997042.000,300.000
25997342.000,25997642.000,300.000
25997942.000,25998242.000,300.000
25998542.000,25998842.000,300.000
25999142.000,25999442.000,300.000
25999742.000,26000042.000,300.000
26000342.000,26000642.000,300.000
26000942.000,26001242.000,300.000
26001542.000,26001842.000,300.000
26002142.000,26002442.000,300.000
26002742.000,26003042.000,300.000
26003342.000,26003642.000,300.000
26003942.000,26004242.000,300.000
26004542.000,26004842.000,300.000
26005142.000,26005442.000,300.000
26005742.000,26006042.000,300.000
26006342.000,26006642.000,300.000
26006942.000,26007242.000,300.000
26007542.000,26007842.000,300.000
26008142.000,26008442.000,300.000
26008742.000,26009042.000,300.000
26009342.000,26009642.000,300.000
26009942.000,26010242.000,300.000
26010542.000,26010842.000,300.000
26011142.000,26011442.000,300.000
26011742.000,26012042.000,300.000
26012342.000,26012642.000,300.000
26012942.000,26013242.000,300.000
26013542.000,26013842.000,300.000
26014142.000,26014442.000,300.000
26014742.000,26015042.000,300.000
26015342.000,26015642.000,300.000
26015942.000,26016242.000,300.000
26016542.000,26016842.000,300.000
26017142.000,26017442.000,300.000
26017742.000,26018042.000,300.000
26018342.000,26018642.000,300.000
26018942.000,26019242.000,300.000
26019542.000,26019842.000,300.000
26020142.000,26020442.000,300.000
26020742.000,26021042.000,300.000
26021342.000,26021642.000,300.000
26021942.000,26022242.000,300.000
26022542.000,26022842.000,300.000
26023142.000,26023442.000,300.000
26023742.000,26024042.000,300.000
26024342.000,26024642.000,300.000
26024942.000,26025242.000,300.000
26025542.000,26025842.000,300.000
26026142.000,26026442.000,300.000
26026742.000,26027042.000,300.000
26027342.000,26027642.000,300.000
26027942.000,26028242.000,300.000
26028542.000,26028842.000,300.000
26029142.000,26029442.000,300.000
26029742.000,26030042.000,300.000
26030342.000,26030642.000,300.000
26030942.000,26031242.000,300.000
26031542.000,26031842.000,300.000
26032142.000,26032442.000,300.000
26032742.000,26033042.000,300.000
26033342.000,26033642.000,300.000
26033942.000,26034242.000,300.000
26034542.000,26034842.000,300.000
26035142.000,26035442.000,300.000
26035742.000,26036042.000,300.000
26036342.000,26036642.000,300.000
26036942.000,26037242.000,300.000
26037542.000,26037842.000,300.000
26038142.000,26038442.000,300.000
26038742.000,26039042.000,300.000
26039342.000,26039642.000,300.000
26039942.000,26040242.000,300.000
26040542.000,26040842.000,300.000
26041142.000,26041442.000,300.000
26041742.000,26042042.000,300.000
26042342.000,26042642.000,300.000
26042942.000,26043242.000,300.000
26043542.000,26043842.000,300.000
26044142.000,26044442.000,300.000
26044742.000,26045042.000,300.000
26045342.000,26045642.000,300.000
26045942.000,26046242.000,300.000
26046542.000,26046842.000,300.000
26047142.000,26047442.000,300.000
26047742.000,26048042.000,300.000
26048342.000,26048642.000,300.000
26048942.000,26049242.000,300.000
26049542.000,26049842.000,300.000
26050142.000,26050442.000,300.000
26050742.000,26051042.000,300.000
26051342.000,26051642.000,300.000
26051942.000,26052242.000,300.000
26052542.000,26052842.000,300.000
26053142.000,26053442.000,300.000
26053742.000,26054042.000,300.000
26054342.000,26054642.000,300.000
26054942.000,26055242.000,300.000
26055542.000,26055842.000,300.000
26056142.000,26056442.000,300.000
26056742.000,26057042.000,300.000
26057342.000,26057642.000,300.000
26057942.000,26058242.000,300.000
26058542.000,26058842.000,300.000
26059142.000,26059442.000,300.000
26059742.000,26060042.000,300.000
26060342.000,26060642.000,300.000
26060942.000,26061242.000,300.000
26061542.000,26061842.000,300.000
26062142.000,26062442.000,300.000
26062742.000,26063042.000,300.000
26063342.000,26063642.000,300.000
26063942.000,26064242.000,300.000
26064542.000,26064842.000,300.000
26065142.000,26065442.000,300.000
26065742.000,26066042.000,300.000
26066342.000,26066642.000,300.000
26066942.000,26067242.000,300.000
26067542.000,26067842.000,300.000
26068142.000,26068442.000,300.000
26068742.000,26069042.000,300.000
26069342.000,26069642.000,300.000
26069942.000,26070242.000,300.000
26070542.000,26070842.000,300.000
26071142.000,26071442.000,300.000
26071742.000,26072042.000,300.000
26072342.000,26072642.000,300.000
26072942.000,26073242.000,300.000
26073542.000,26073842.000,300.000
26074142.000,26074442.000,300.000
26074742.000,26075042.000,300.000
26075342.000,26075642.000,300.000
26075942.000,26076242.000,300.000
26076542.000,26076842.000,300.000
26077142.000,26077442.000,300.000
26077742.000,26078042.000,300.000
26078342.000,26078642.000,300.000
26078942.000,26079242.000,300.000
26079542.000,26079842.000,300.000
26080142.000,26080442.000,300.000
26080742.000,26081042.000,300.000
26081342.000,26081642.000,300.000
26081942.000,26082242.000,300.000
26082542.000,26082842.000,300.000
26083142.000,26083442.000,300.000
26083742.000,26084042.000,300.000
26084342.000,26084642.000,300.000
26084942.000,26085242.000,300.000
26085542.000,26085842.000,300.000
26086142.000,26086442.000,300.000
26086742.000,26087042.000,300.000
26087342.000,26087642.000,300.000
26087942.000,26088242.000,300.000
26088542.000,26088842.000,300.000
26089142.000,26089442.000,300.000
26089742.000,26090042.000,300.000
26090342.000,26090642.000,300.000
